Node ID,Discipline
1367,Biology
1368,Biology
1371,Biology
1373,Biology
1377,Biology
1381,Biology
1383,Biology
1387,Biology
1393,Computer Science
1394,Biology
1400,Biology
1402,Biology
1409,Computer Science
1410,Biology
1411,Biology
1417,Biology
1425,Biology
1426,Biology
1431,Biology
1432,Computer Science
1434,Computer Science
1441,Computer Science
1446,Biology
1456,Computer Science
1459,Biology
1460,Computer Science
1461,Computer Science
1463,Biology
1464,Biology
1465,Biology
1468,Computer Science
1471,Computer Science
1480,Computer Science
1484,Biology
1491,Biology
1495,Biology
1498,Biology
1502,Biology
1503,Computer Science
1504,Computer Science
1507,Biology
1509,Biology
1514,Computer Science
1519,Biology
1522,Biology
1526,Biology
1530,Computer Science
1531,Biology
1533,Computer Science
1534,Biology
1535,Computer Science
1538,Biology
1539,Biology
1544,Computer Science
1545,Biology
1549,Computer Science
1557,Computer Science
1559,Computer Science
1563,Biology
1569,Computer Science
1572,Computer Science
1574,Biology
1576,Biology
1577,Computer Science
1584,Computer Science
1589,Computer Science
1590,Computer Science
1591,Biology
1593,Biology
1597,Computer Science
1599,Biology
1604,Biology
1605,Biology
1609,Biology
1612,Computer Science
1613,Biology
1615,Computer Science
1618,Computer Science
1620,Computer Science
1622,Biology
1623,Biology
1626,Computer Science
1632,Biology
1635,Computer Science
1638,Biology
1644,Computer Science
1647,Computer Science
1649,Biology
1653,Computer Science
1657,Computer Science
1658,Biology
1659,Biology
1661,Computer Science
1663,Biology
1665,Computer Science
1667,Computer Science
1668,Biology
1670,Biology
1673,Biology
1674,Biology
1675,Computer Science
1678,Biology
1680,Computer Science
1681,Biology
1684,Biology
1685,Biology
1688,Computer Science
1689,Computer Science
1691,Biology
1696,Biology
1698,Computer Science
1703,Biology
1706,Computer Science
1711,Biology
1713,Computer Science
1714,Biology
1718,Biology
1721,Computer Science
1722,Computer Science
1724,Biology
1731,Biology
1734,Computer Science
1738,Biology
1740,Computer Science
1743,Biology
1750,Computer Science
1751,Biology
1752,Biology
1757,Biology
1762,Computer Science
1763,Biology
1765,Computer Science
1768,Biology
1769,Computer Science
1770,Computer Science
1773,Biology
1776,Biology
1778,Computer Science
1780,Biology
1781,Biology
1784,Biology
1786,Biology
1787,Biology
1792,Computer Science
1794,Biology
1797,Biology
1798,Computer Science
1801,Biology
1803,Biology
1805,Computer Science
1807,Computer Science
1808,Computer Science
1811,Biology
1813,Biology
1817,Biology
1821,Computer Science
1823,Computer Science
1824,Computer Science
1825,Biology
1830,Biology
1835,Computer Science
1836,Computer Science
1841,Biology
1842,Computer Science
1843,Computer Science
1847,Computer Science
1851,Computer Science
1854,Computer Science
1857,Computer Science
1858,Biology
1860,Biology
1867,Computer Science
1870,Computer Science
1873,Computer Science
1882,Biology
1883,Biology
1889,Biology
1898,Biology
1903,Computer Science
1912,Computer Science
1913,Biology
1915,Computer Science
1918,Computer Science
1921,Biology
1923,Computer Science
1924,Computer Science
1929,Computer Science
1930,Biology
1931,Biology
1932,Biology
1933,Biology
1936,Computer Science
1939,Biology
1940,Biology
1948,Biology
1949,Computer Science
1951,Biology
1953,Computer Science
1954,Biology
1961,Biology
1966,Computer Science
1969,Computer Science
1971,Biology
1976,Computer Science
1977,Biology
1980,Computer Science
1984,Biology
1985,Computer Science
1987,Computer Science
1989,Computer Science
1990,Computer Science
1994,Biology
1995,Computer Science
1998,Biology
2002,Biology
2005,Computer Science
2010,Biology
2014,Computer Science
2015,Computer Science
2016,Computer Science
2021,Computer Science
2023,Biology
2027,Computer Science
2029,Computer Science
2030,Biology
2035,Biology
2036,Biology
2037,Computer Science
2043,Biology
2044,Computer Science
2049,Biology
2050,Computer Science
2057,Computer Science
2061,Computer Science
2062,Biology
2063,Computer Science
2065,Biology
2067,Computer Science
2070,Computer Science
2077,Computer Science
2081,Computer Science
2086,Computer Science
2087,Biology
2093,Biology
2095,Computer Science
2101,Computer Science
2105,Biology
2110,Computer Science
2113,Biology
2114,Computer Science
2120,Biology
2124,Biology
2127,Biology
2134,Biology
2135,Computer Science
2137,Biology
2140,Biology
2153,Biology
2165,Biology
2166,Computer Science
2167,Biology
2169,Biology
2174,Computer Science
2180,Biology
2184,Biology
2187,Computer Science
2188,Biology
2197,Computer Science
2203,Biology
2204,Computer Science
2210,Computer Science
2214,Biology
2218,Computer Science
2219,Biology
2222,Computer Science
2223,Computer Science
2231,Biology
2232,Computer Science
2233,Computer Science
2239,Computer Science
2243,Biology
2244,Computer Science
2247,Biology
2248,Biology
2250,Computer Science
2251,Computer Science
2252,Biology
2260,Computer Science
2261,Biology
2265,Biology
2273,Computer Science
2276,Computer Science
2280,Computer Science
2285,Biology
2294,Biology
2296,Computer Science
2302,Computer Science
2303,Computer Science
2305,Computer Science
2312,Computer Science
2314,Biology
2324,Computer Science
2332,Biology
2333,Computer Science
2338,Computer Science
2341,Computer Science
2352,Computer Science
2356,Computer Science
2358,Biology
2360,Biology
2362,Computer Science
2363,Computer Science
2366,Biology
2368,Computer Science
2374,Computer Science
2376,Computer Science
2377,Biology
2378,Biology
2379,Computer Science
2381,Biology
2384,Computer Science
2385,Computer Science
2387,Computer Science
2388,Computer Science
2389,Biology
2394,Computer Science
2395,Computer Science
2399,Computer Science
2400,Biology
2404,Computer Science
2408,Biology
2414,Computer Science
2416,Biology
2422,Biology
2423,Computer Science
2425,Computer Science
2426,Computer Science
2427,Biology
2428,Biology
2430,Biology
2431,Biology
2436,Biology
2438,Biology
2445,Computer Science
2453,Computer Science
2458,Computer Science
2459,Computer Science
2463,Biology
2467,Biology
2469,Biology
2470,Computer Science
2473,Computer Science
2475,Computer Science
2479,Computer Science
2485,Computer Science
2490,Biology
2491,Computer Science
2495,Computer Science
2498,Computer Science
2503,Biology
2504,Biology
2512,Computer Science
2513,Computer Science
2514,Biology
2516,Biology
2524,Biology
2526,Computer Science
2527,Computer Science
2528,Computer Science
2529,Computer Science
2540,Biology
2541,Computer Science
2542,Biology
2544,Computer Science
2545,Biology
2548,Computer Science
2550,Biology
2554,Computer Science
2556,Biology
2566,Computer Science
2567,Computer Science
2573,Computer Science
2575,Computer Science
2577,Computer Science
2580,Biology
2582,Biology
2583,Computer Science
2584,Computer Science
2585,Computer Science
2586,Biology
2589,Computer Science
2595,Biology
2604,Biology
2605,Biology
2607,Computer Science
2609,Computer Science
2610,Computer Science
2616,Biology
2617,Computer Science
2618,Computer Science
2622,Computer Science
2628,Computer Science
2633,Biology
2635,Computer Science
2642,Computer Science
2644,Biology
2645,Biology
2662,Biology
2666,Computer Science
2669,Biology
2672,Computer Science
2676,Computer Science
2678,Computer Science
2680,Computer Science
2681,Biology
2684,Computer Science
2687,Computer Science
2690,Computer Science
